Fila,Bytes,Tiempo(s),Tasa(kbps)
0,300,0.010012,239.712
1,300,0.00573,418.848
2,300,0.005843,410.748
3,300,0.00588,408.163
4,300,0.005868,408.998
5,300,0.005823,412.159
6,300,0.005831,411.593
7,300,0.005834,411.382
8,300,0.005843,410.748
9,300,0.005822,412.229
10,300,0.005815,412.726
11,300,0.005829,411.734
12,300,0.005836,411.241
13,300,0.005831,411.593
14,300,0.005826,411.946
15,300,0.005818,412.513
16,300,0.005819,412.442
17,300,0.005822,412.229
18,300,0.005842,410.818
19,300,0.00583,411.664
20,300,0.005826,411.946
21,300,0.005843,410.748
22,300,0.005825,412.017
23,300,0.005834,411.382
24,300,0.005838,411.1
25,300,0.005833,411.452
26,300,0.005852,410.116
27,300,0.005858,409.696
28,300,0.005864,409.277
29,300,0.005835,411.311
30,300,0.005839,411.029
31,300,0.005798,413.936
32,300,0.005652,424.628
33,300,0.005636,425.834
34,300,0.00564,425.532
35,300,0.005631,426.212
36,300,0.005652,424.628
37,300,0.005747,417.609
38,300,0.005696,421.348
39,300,0.00576,416.667
40,300,0.005786,414.794
41,300,0.005687,422.015
42,300,0.005606,428.113
43,300,0.00568,422.535
44,300,0.005629,426.363
45,300,0.005633,426.061
46,300,0.005648,424.929
47,300,0.005611,427.731
48,300,0.005594,429.031
49,300,0.005696,421.348
50,300,0.005619,427.122
51,300,0.005696,421.348
52,300,0.0056,428.571
53,300,0.005604,428.266
54,300,0.005779,415.297
55,300,0.005666,423.579
56,300,0.005759,416.739
57,300,0.005686,422.089
58,300,0.005654,424.478
59,300,0.005622,426.894
60,300,0.005635,425.909
61,300,0.005638,425.683
62,300,0.005633,426.061
63,300,0.005623,426.818
64,300,0.005645,425.155
65,300,0.005636,425.834
66,300,0.005639,425.607
67,300,0.005655,424.403
68,300,0.005649,424.854
69,300,0.005644,425.23
70,300,0.005633,426.061
71,300,0.005669,423.355
72,300,0.005646,425.08
73,300,0.005628,426.439
74,300,0.005661,423.953
75,300,0.005631,426.212
76,300,0.005656,424.328
77,300,0.005703,420.831
78,300,0.005647,425.004
79,300,0.00566,424.028
80,300,0.005632,426.136
81,300,0.005647,425.004
82,300,0.005647,425.004
83,300,0.005643,425.306
84,300,0.005619,427.122
85,300,0.005645,425.155
86,300,0.005624,426.743
87,300,0.005644,425.23
88,300,0.005655,424.403
89,300,0.005651,424.704
90,300,0.00563,426.288
91,300,0.005638,425.683
92,300,0.005639,425.607
93,300,0.005633,426.061
94,300,0.005632,426.136
95,300,0.005635,425.909
96,300,0.005643,425.306
97,300,0.005644,425.23
98,300,0.005656,424.328
99,300,0.005639,425.607
100,300,0.005647,425.004
101,300,0.005629,426.363
102,300,0.005656,424.328
103,300,0.005654,424.478
104,300,0.005627,426.515
105,300,0.005645,425.155
106,300,0.005647,425.004
107,300,0.00565,424.779
108,300,0.005634,425.985
109,300,0.005648,424.929
110,300,0.005642,425.381
111,300,0.005636,425.834
112,300,0.005652,424.628
113,300,0.005658,424.178
114,300,0.005693,421.57
115,300,0.005698,421.2
116,300,0.005702,420.905
117,300,0.005628,426.439
118,300,0.005621,426.97
119,300,0.00566,424.028
120,300,0.005606,428.113
121,300,0.005609,427.884
122,300,0.005604,428.266
123,300,0.005611,427.731
124,300,0.005685,422.164
125,300,0.005607,428.036
126,300,0.005602,428.418
127,300,0.005697,421.274
128,300,0.005615,427.427
129,300,0.005618,427.198
130,300,0.005646,425.08
131,300,0.005588,429.492
132,300,0.005607,428.036
133,300,0.005621,426.97
134,300,0.00561,427.807
135,300,0.005605,428.189
136,300,0.005598,428.725
137,300,0.005639,425.607
138,300,0.005601,428.495
139,300,0.005583,429.876
140,300,0.005601,428.495
141,300,0.00567,423.28
142,300,0.005623,426.818
143,300,0.005609,427.884
144,300,0.005617,427.274
145,300,0.005725,419.214
146,300,0.00561,427.807
147,300,0.005614,427.503
148,300,0.00561,427.807
149,300,0.005657,424.253
150,300,0.005613,427.579
151,300,0.005613,427.579
152,300,0.005711,420.242
153,300,0.005608,427.96
154,300,0.0056,428.571
155,300,0.005665,423.654
156,300,0.005594,429.031
157,300,0.005608,427.96
158,300,0.005629,426.363
159,300,0.005601,428.495
160,300,0.005603,428.342
161,300,0.005704,420.757
162,300,0.005666,423.579
163,300,0.005678,422.684
164,300,0.005615,427.427
165,300,0.00561,427.807
166,300,0.005618,427.198
167,300,0.005609,427.884
168,300,0.005607,428.036
169,300,0.00573,418.848
170,300,0.005608,427.96
171,300,0.00559,429.338
172,300,0.005707,420.536
173,300,0.005627,426.515
174,300,0.005616,427.35
175,300,0.005615,427.427
176,300,0.005604,428.266
177,300,0.00561,427.807
178,300,0.005614,427.503
179,300,0.005618,427.198
180,300,0.005606,428.113
181,300,0.005604,428.266
182,300,0.005604,428.266
183,300,0.005598,428.725
184,300,0.005611,427.731
185,300,0.005609,427.884
186,300,0.005663,423.804
187,300,0.005616,427.35
188,300,0.005606,428.113
189,300,0.005631,426.212
190,300,0.005644,425.23
191,300,0.005657,424.253
192,300,0.005605,428.189
193,300,0.005669,423.355
194,300,0.005791,414.436
195,300,0.009944,241.352
196,300,0.00561,427.807
197,300,0.005766,416.233
198,300,0.005796,414.079
199,300,0.005663,423.804
